,chr,subpop,clus.id,start,end,peak,width
1,01K,all,01K_all_1,3495571,3499864,3495571,4293
2,01K,all,01K_all_2,7209499,7209863,7209863,364
3,01K,all,01K_all_3,8324892,8324927,8324892,35
4,01K,all,01K_all_4,13649735,13656953,13652695,7218
5,01K,all,01K_all_5,13669994,13670055,13669994,61
6,01K,all,01K_all_6,13670883,13672044,13671979,1161
7,01K,all,01K_all_7,13678872,13690688,13678872,11816
8,01K,all,01K_all_8,22421243,22422787,22421848,1544
9,01K,all,01K_all_9,23748279,23749186,23748279,907
10,01K,all,01K_all_10,23785983,23786337,23786337,354
11,01K,all,01K_all_11,23879137,23879589,23879137,452
12,01K,all,01K_all_12,23889197,23889607,23889607,410
13,01K,all,01K_all_13,25154466,25155086,25154466,620
14,01K,all,01K_all_14,25342986,25343990,25342986,1004
15,01K,all,01K_all_15,25592348,25594003,25592954,1655
16,01K,all,01K_all_16,25606463,25607256,25607256,793
17,01K,all,01K_all_17,25611980,25612984,25611980,1004
18,01K,all,01K_all_18,25617163,25618484,25618321,1321
19,01K,all,01K_all_19,25628313,25632004,25629939,3691
20,01K,all,01K_all_20,25634524,25635312,25635312,788
21,01K,all,01K_all_21,25636532,25638031,25636532,1499
22,01K,all,01K_all_22,25643085,25643176,25643085,91
23,01K,all,01K_all_23,25645435,25652736,25645435,7301
24,01K,all,01K_all_24,25653486,25654010,25653486,524
25,01K,all,01K_all_25,25656581,25657286,25656581,705
26,01K,all,01K_all_26,25658761,25660720,25660465,1959
27,01K,all,01K_all_27,25669864,25670520,25669864,656
28,01K,all,01K_all_28,25672161,25672615,25672560,454
29,01K,all,01K_all_29,25674063,25674824,25674063,761
30,01K,all,01K_all_30,25676757,25677172,25677172,415
31,01K,all,01K_all_31,25680075,25680137,25680075,62
32,01K,all,01K_all_32,25681602,25681875,25681875,273
33,01K,all,01K_all_33,25700017,25701178,25700337,1161
34,01K,all,01K_all_34,25702211,25704338,25704338,2127
35,01K,all,01K_all_35,25705487,25705501,25705487,14
36,01K,all,01K_all_36,25709230,25709811,25709811,581
37,01K,all,01K_all_37,25710670,25710874,25710670,204
38,01K,all,01K_all_38,25720698,25721363,25720983,665
39,01K,all,01K_all_39,25724228,25724470,25724470,242
40,01K,all,01K_all_40,25725528,25726860,25725528,1332
41,01K,all,01K_all_41,25734214,25734506,25734214,292
