Marker,Phenotype,Subpop,Chr,Pos,log10BayesFactor,distance from gene,Gene ID,gene_start,gene_end,gene_width,Pfam,Panther Categories,KOG,KO,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice homolog,Rice gene annotation,OsGene,AtGene,Best.hit.arabi.name,arabi.symbol,arabi.defline,Best.hit.rice.name,rice.defline,leaf,pollen,mitochondria,transcription factor,root,temperature,grain,panicle,disease,disease resistance,jasmonate,defense,drought,salinity,grain yield,yield,defense response,drought tolerance,ethylene,vegetative,blast,salicylic acid,meristem,reproductive,stroma,blast disease,early leaf senescence,leaf senescence,senescence,tillering,development,seedling,seed,map-based cloning,photosynthesis,salt,oxidative,sugar,lignin,lignin biosynthesis,reactive oxygen species,drought resistance, sa ,SA,grain-filling,dormancy,flower,flowering,florigen transport,null,tave_18d_Midwest.6,tave_18d_Gulf_and_Midwest.6,equal_effects.7,equal_effects.8,ED_PCA_1.9,ED_PCA_2.9,ED_PCA_4.9,ED_tPCA.9,ED_PCA_3.10,ED_PCA_5.10,Stand_BhatGulf_GR50_OK.10,Stand_BhatGulf_GR50_SD.10,cgdd_12c_18d_Gulf_and_Midwest.10,ED_PCA_3.11,Stand_BhatGulf_GR50_NE.11,Stand_BhatGulf_GR50_SD.11,ED_PCA_4.12,ED_tPCA.12,Stand_BhatGulf_GR50_SD.12,Stand_BhatGulf_GR50_TX3.12,ED_tPCA.13,Stand_BhatGulf_GR50_MO.13,ED_PCA_3.14,Stand_BhatGulf_GR50_TX2.14,Stand_BhatGulf_GR50_TX1.15,tave_18d_Midwest.7,tave_10d_Gulf.8,tave_10d_Midwest.8,cgdd_12c_18d_Gulf_and_Midwest.9,ED_PCA_2.10,ED_PCA_2.11,ED_PCA_4.11,ED_tPCA.11,Stand_BhatGulf_and_Midwest_GR50_MI.11,Stand_BhatGulf_and_Midwest_GR50_SD.11,Stand_BhatGulf_and_Midwest_GR50_OK.12,ED_PCA_1.13,Stand_BhatGulf_and_Midwest_GR50_MO.13,Stand_BhatGulf_and_Midwest_GR50_SD.13,Stand_BhatGulf_and_Midwest_GR50_TX1.13,ED_tPCA.14,Stand_BhatGulf_and_Midwest_GR50_MO.14,simple_het_2.14,ED_PCA_1.15,ED_PCA_2.15,Stand_BhatGulf_and_Midwest_GR50_MO.15,Stand_BhatGulf_and_Midwest_GR50_NE.15,Stand_BhatGulf_and_Midwest_GR50_OK.15,cgdd_12c_gr2fl_Gulf.7,GR50_Gulf_and_Midwest.7,cgdd_12c_gr2fl_Gulf.8,cgdd_12c_gr2fl_Midwest.8,cgdd_12c_gr2fl_Gulf_and_Midwest.8,GR50_Gulf.8,ED_tPCA.10,equal_effects.10,ED_PCA_1.14,Stand_BhatMidwest_FL50_TX3.15,Stand_BhatMidwest_FL50_TX1.16,ED_PCA_1.17,Stand_BhatMidwest_FL50_TX2.18,Stand_BhatMidwest_FL50_TX3.20,Stand_BhatMidwest_FL50_M.21,Stand_BhatMidwest_FL50_TX1.22,Stand_BhatMidwest_FL50_TX2.22,dyln_fl50_Gulf.3,dyln_fl50_Gulf_and_Midwest.3,cgdd_12c_gr2fl_Gulf_and_Midwest.6,dyln_change_sec_Midwest.7,ED_PCA_1.10,ED_PCA_1.11,Stand_BhatGulf_and_Midwest_FL50_TX1.12
Chr08N_1350566,Greenup,Gulf,Chr08N,1350566,2.42636763744194,1410,Pavir.8NG022200,1346668,1349156,2489,"PF07714,PF13499","PTHR24349,PTHR24349:SF130",KOG0032,K13412,AT5G12180.1,CPK17,calcium-dependent protein kinase 17,LOC_Os11g04170.1,"CAMK_CAMK_like.42 - CAMK includes calcium/calmodulin depedent protein kinases, expressed",OsCPK25,NA,AT5G12180,CPK17,calcium-dependent protein kinase 17,LOC_Os11g04170,"CAMK_CAMK_like.42 - CAMK includes calcium/calmodulin depedent protein kinases, expressed",NA,"OIP30, a RuvB-like DNA helicase 2, is a potential substrate for the pollen-predominant OsCPK25/26 in rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4433188173521448e-4,6.359481471819948e-4,0.05453264973894201,1.2569826676083888e-4,1.7048580293991976e-5,0.11467335866459873,1.80634171054845e-4,7.883250042987685e-5,0.5874476512451299,8.774737655617337e-4,9.661581769169776e-6,0.0014221590350549194,1.0133467429403372e-4,0.20341571995615873,5.86332616505624e-4,4.040824821851183e-6,5.27171955834274e-6,1.453303085253988e-8,0.034585026858440844,1.769706793048102e-5,4.224892710499218e-7,9.703084889747469e-4,1.191053638954214e-6,2.098085891596925e-6,1.6506567025672866e-4,2.8382712942607302e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr05N_18479153,Greenup,Gulf,Chr05N,18479153,2.008030532816134,7810,Pavir.5NG214100,18486963,18487850,888,NA,NA,NA,NA,NA,NA,NA,LOC_Os01g20100.1,expressed protein,WP3,NA,NA,NA,NA,LOC_Os01g20100,expressed protein,"WHITE PANICLE3, a Novel Nucleus-Encoded Mitochondrial Protein, Is Essential for Proper Development and Maintenance of Chloroplasts and Mitochondria in Rice.",NA,"WHITE PANICLE3, a Novel Nucleus-Encoded Mitochondrial Protein, Is Essential for Proper Development and Maintenance of Chloroplasts and Mitochondria in Rice.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.780922984037846e-4,2.911050922421646e-4,0.055217635912679794,7.251208629691686e-4,1.3470656396802704e-4,0.026431991510746603,0.007140591650889879,4.8155719692895136e-4,0.5304595032284122,3.775689284144896e-4,1.9928058414941577e-4,0.0015050961606630322,2.1247255569499277e-4,0.13373241081881082,1.5904683561883252e-4,3.616497313096674e-6,1.1237968542520346e-5,2.0020302891244224e-7,0.22609362115584394,3.8628233422114865e-5,1.371302836520488e-6,0.01057331096844297,0.005831220203477249,2.968230312477629e-7,2.085631226000508e-7,1.0788034667525628e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr09N_62451538,Greenup,Both,Chr09N,62451538,2.2741332663679117,437,Pavir.9NG558100,62449863,62451101,1239,NA,"PTHR31719,PTHR31719:SF32",NA,NA,AT1G69490.1,"ANAC029,ATNAP,NAP","NAC-like, activated by AP3/PI",LOC_Os11g03300.1,"NAC domain transcription factor, putative, expressed",ONAC122|OsNAC10,NA,AT1G69490,"ANAC029,ATNAP,NAP","NAC-like, activated by AP3/PI",LOC_Os11g03300,"NAC domain transcription factor, putative, expressed",NA,NA,NA,"Functions of rice NAC transcriptional factors, ONAC122 and ONAC131, in defense responses against Magnaporthe grisea",Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions,Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions,Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions,Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions,"Functions of rice NAC transcriptional factors, ONAC122 and ONAC131, in defense responses against Magnaporthe grisea","Functions of rice NAC transcriptional factors, ONAC122 and ONAC131, in defense responses against Magnaporthe grisea","Functions of rice NAC transcriptional factors, ONAC122 and ONAC131, in defense responses against Magnaporthe grisea","Functions of rice NAC transcriptional factors, ONAC122 and ONAC131, in defense responses against Magnaporthe grisea",Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions,Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions,Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions,Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions,"Functions of rice NAC transcriptional factors, ONAC122 and ONAC131, in defense responses against Magnaporthe grisea",Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions,"Functions of rice NAC transcriptional factors, ONAC122 and ONAC131, in defense responses against Magnaporthe grisea",Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions,"Functions of rice NAC transcriptional factors, ONAC122 and ONAC131, in defense responses against Magnaporthe grisea","Functions of rice NAC transcriptional factors, ONAC122 and ONAC131, in defense responses against Magnaporthe grisea",Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions,Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions,NA,"Functions of rice NAC transcriptional factors, ONAC122 and ONAC131, in defense responses against Magnaporthe grisea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3526226198802942e-4,NA,NA,NA,0.005042206454002363,NA,NA,NA,NA,NA,NA,NA,NA,0.10106540601487912,1.302377521499105e-4,NA,NA,NA,NA,NA,NA,1.4643486842362866e-4,NA,NA,NA,NA,1.3785049868368975e-5,0.001152299190079899,6.43701103100369e-8,0.10509881690324334,1.5959697440589104e-4,5.044075005736048e-4,2.316778189815199e-5,0.1353926881068554,0.3634121579970563,2.405987712811095e-5,4.0884466730525587e-4,0.2648510298913212,2.620128279008107e-4,2.8867420751726233e-6,5.835745017613129e-6,0.0010854067317030407,1.6876457126104833e-4,1.6768881756248604e-4,0.020710025610644427,1.018519959317938e-8,3.639642540544146e-5,8.834268840088048e-8,4.183392530668488e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr01K_42642952,Greenup,Both,Chr01K,42642952,2.2081888765369766,8555,Pavir.1KG391400,42631004,42634397,3394,"PF14226,PF03171","PTHR10209,PTHR10209:SF177",KOG0143,K04125,AT4G21200.1,"ATGA2OX8,GA2OX8",gibberellin 2-oxidase 8,LOC_Os02g41954.1,"gibberellin 2-beta-dioxygenase 7, putative, expressed",NA,GA2ox8,AT4G21200,"ATGA2OX8,GA2OX8",gibberellin 2-oxidase 8,LOC_Os02g41954,"gibberellin 2-beta-dioxygenase 7, putative, expressed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.574386666939484e-4,NA,NA,NA,0.0039962458919153235,NA,NA,NA,NA,NA,NA,NA,NA,0.07834994640042961,1.0739157050733837e-4,NA,NA,NA,NA,NA,NA,5.923549862118103e-4,NA,NA,NA,NA,2.7835707633842347e-6,1.4880208295467158e-4,2.3154837644514625e-5,0.10203268406976256,7.561351281782732e-4,0.0037276473612363353,0.019982199663716723,0.7493590119919217,5.335970269426783e-5,0.023341373413728085,2.921069442312558e-4,6.404320144037218e-4,1.598416281446028e-4,0.013045272327929474,5.288334413056551e-6,0.0030778645547065134,9.01334542016696e-5,2.989546176315299e-5,8.708196452672054e-6,1.6423663313788517e-7,1.7778799335273883e-5,1.7560804343038622e-6,2.2862899258026476e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr05K_4299740,Greenup,Both,Chr05K,4299740,2.092935266585587,3130,Pavir.5KG058300,4296390,4302870,6481,"PF00505,PF08512,PF03531","PTHR13711,PTHR13711:SF199",NA,K09272,AT3G28730.1,"ATHMG,HMG,NFD,SSRP1",high mobility group,LOC_Os01g08970.1,"SSRP1-like FACT complex subunit, putative, expressed",NA,"SSRP1, HMG, NFD",AT3G28730,"ATHMG,HMG,NFD,SSRP1",high mobility group,LOC_Os01g08970,"SSRP1-like FACT complex subunit, putative, expressed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0527886255765105e-4,NA,NA,NA,0.05325646542870726,NA,NA,NA,NA,NA,NA,NA,NA,0.26940817067035655,1.275230907694695e-4,NA,NA,NA,NA,NA,NA,4.375831348457449e-5,NA,NA,NA,NA,2.488549806977864e-4,2.210266325697506e-4,2.3406276244691946e-5,0.3803719269668953,2.2591129910663882e-4,6.957388968203514e-4,8.573467018739981e-4,0.12860990681657966,0.143206676928543,1.3461955220004206e-4,3.599828597553372e-4,0.02084018214776496,1.934731537110985e-4,2.1078222340612983e-5,7.162355890280158e-6,1.89935848181895e-4,1.0699538983020992e-4,5.9767584340337665e-5,5.636136524807282e-4,1.336317863775863e-8,2.0823309093018975e-5,8.75223447101609e-8,2.7317368137925563e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr05K_4299740,Greenup,Both,Chr05K,4299740,2.092935266585587,7373,Pavir.5KG059287,4307113,4309324,2212,PF00179,"PTHR24067,PTHR24067:SF128",KOG0419,K10573,AT2G02760.1,"ATUBC2,UBC2",ubiquiting-conjugating enzyme 2,LOC_Os05g08960.1,"ubiquitin-conjugating enzyme, putative, expressed",NA,UBC2,AT2G02760,"ATUBC2,UBC2",ubiquiting-conjugating enzyme 2,LOC_Os05g08960,"ubiquitin-conjugating enzyme, putative, expressed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0527886255765105e-4,NA,NA,NA,0.05325646542870726,NA,NA,NA,NA,NA,NA,NA,NA,0.26940817067035655,1.275230907694695e-4,NA,NA,NA,NA,NA,NA,4.375831348457449e-5,NA,NA,NA,NA,2.488549806977864e-4,2.210266325697506e-4,2.3406276244691946e-5,0.3803719269668953,2.2591129910663882e-4,6.957388968203514e-4,8.573467018739981e-4,0.12860990681657966,0.143206676928543,1.3461955220004206e-4,3.599828597553372e-4,0.02084018214776496,1.934731537110985e-4,2.1078222340612983e-5,7.162355890280158e-6,1.89935848181895e-4,1.0699538983020992e-4,5.9767584340337665e-5,5.636136524807282e-4,1.336317863775863e-8,2.0823309093018975e-5,8.75223447101609e-8,2.7317368137925563e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr01N_54870406,Greenup,Both,Chr01N,54870406,2.0129138840785585,4255,Pavir.1NG394900,54864298,54866151,1854,PF00348,"PTHR12001,PTHR12001:SF41",KOG0776,K13789,AT4G38460.1,GGR,geranylgeranyl reductase,LOC_Os02g44780.1,"polyprenyl synthetase, putative, expressed",OsGGPPS2|OsGRP,NA,AT4G38460,GGR,geranylgeranyl reductase,LOC_Os02g44780,"polyprenyl synthetase, putative, expressed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A recruiting protein of geranylgeranyl diphosphate synthase controls metabolic flux toward chlorophyll biosynthesis in rice.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4680137676997546e-4,NA,NA,NA,0.0023089096212506096,NA,NA,NA,NA,NA,NA,NA,NA,0.10565404763553984,3.7089057268607285e-4,NA,NA,NA,NA,NA,NA,0.007148509916296203,NA,NA,NA,NA,8.555857276267702e-5,3.6734055815948913e-4,6.795776995141819e-5,0.059829798245754864,9.368514135025156e-4,0.005530185051901569,0.05681128433700162,0.40780439901800997,1.212312661406422e-4,0.00229802389168513,6.628224802853492e-4,0.0017778449763740027,2.534381157387804e-4,0.0020831739909770498,1.1962846399394384e-5,0.33998332231975936,1.4680604104443535e-4,0.005419727961540352,3.209709390198275e-5,6.764479531610547e-7,2.968081401298169e-5,1.5906096436304268e-5,7.515681641959186e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chr01N_60954030,Flowering,Midwest,Chr01N,60954030,2.5058849742047005,2224,Pavir.1NG417600,60946621,60956254,9634,"PF14381,PF07714","PTHR23257,PTHR23257:SF381",KOG0192,NA,AT1G73660.1,NA,protein tyrosine kinase family protein,LOC_Os02g50970.1,"protein kinase domain containing protein, expressed",DSM1,NA,AT1G73660,NA,protein tyrosine kinase family protein,LOC_Os02g50970,"protein kinase domain containing protein, expressed",NA,NA,NA,NA,NA,NA,NA,A Raf-like MAPKKK gene DSM1 mediates drought resistance through reactive oxygen species scavenging in rice,NA,NA,NA,NA,A Raf-like MAPKKK gene DSM1 mediates drought resistance through reactive oxygen species scavenging in rice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A Raf-like MAPKKK gene DSM1 mediates drought resistance through reactive oxygen species scavenging in rice,NA,NA,NA,A Raf-like MAPKKK gene DSM1 mediates drought resistance through reactive oxygen species scavenging in rice,A Raf-like MAPKKK gene DSM1 mediates drought resistance through reactive oxygen species scavenging in rice,NA,NA,NA,NA,A Raf-like MAPKKK gene DSM1 mediates drought resistance through reactive oxygen species scavenging in rice,NA,NA,NA,NA,NA,NA,NA,1.477443587621359e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08943699884462046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011937023582070294,1.6264287764694135e-4,0.023070947957309452,0.005922205484032759,0.11022747607041142,1.9141858792033977e-4,0.060645309347143316,0.6956814187098979,0.01331073045586238,4.608417989320818e-6,2.45341560288227e-7,4.3639885713549816e-6,1.6061258082803095e-7,7.249894371608657e-9,1.0753384345158976e-8,3.877710116635033e-9,4.70649525830065e-9,NA,NA,NA,NA,NA,NA,NA
Chr06N_41610882,Flowering,Midwest,Chr06N,41610882,2.1024223696099678,8529,Pavir.6NG239800,41619411,41620045,635,PF00006,"PTHR15184,PTHR15184:SF7",NA,NA,AT1G78900.1,VHA-A,vacuolar ATP synthase subunit A,LOC_Os06g45120.1,"ATP synthase, putative, expressed",OsPLS1,NA,AT1G78900,VHA-A,vacuolar ATP synthase subunit A,LOC_Os06g45120,"ATP synthase, putative, expressed",A single cytosine deletion in the OsPLS1 gene encoding vacuolar-type H+-ATPase subunit A1 leads to premature leaf senescence and seed dormancy in rice.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Physiological and Transcriptome Analyses of Early Leaf Senescence for ospls1 Mutant Rice (Oryza sativa L.) during the Grain-Filling Stage.,NA,NA,NA,NA,NA,A single cytosine deletion in the OsPLS1 gene encoding vacuolar-type H+-ATPase subunit A1 leads to premature leaf senescence and seed dormancy in rice.,NA,NA,NA,NA,Physiological and Transcriptome Analyses of Early Leaf Senescence for ospls1 Mutant Rice (Oryza sativa L.) during the Grain-Filling Stage.,A single cytosine deletion in the OsPLS1 gene encoding vacuolar-type H+-ATPase subunit A1 leads to premature leaf senescence and seed dormancy in rice.,A single cytosine deletion in the OsPLS1 gene encoding vacuolar-type H+-ATPase subunit A1 leads to premature leaf senescence and seed dormancy in rice.,A single cytosine deletion in the OsPLS1 gene encoding vacuolar-type H+-ATPase subunit A1 leads to premature leaf senescence and seed dormancy in rice.,A single cytosine deletion in the OsPLS1 gene encoding vacuolar-type H+-ATPase subunit A1 leads to premature leaf senescence and seed dormancy in rice.,NA,A single cytosine deletion in the OsPLS1 gene encoding vacuolar-type H+-ATPase subunit A1 leads to premature leaf senescence and seed dormancy in rice.,A single cytosine deletion in the OsPLS1 gene encoding vacuolar-type H+-ATPase subunit A1 leads to premature leaf senescence and seed dormancy in rice.,Physiological and Transcriptome Analyses of Early Leaf Senescence for ospls1 Mutant Rice (Oryza sativa L.) during the Grain-Filling Stage.,NA,NA,Physiological and Transcriptome Analyses of Early Leaf Senescence for ospls1 Mutant Rice (Oryza sativa L.) during the Grain-Filling Stage.,NA,NA,A single cytosine deletion in the OsPLS1 gene encoding vacuolar-type H+-ATPase subunit A1 leads to premature leaf senescence and seed dormancy in rice.,NA,A single cytosine deletion in the OsPLS1 gene encoding vacuolar-type H+-ATPase subunit A1 leads to premature leaf senescence and seed dormancy in rice.,A single cytosine deletion in the OsPLS1 gene encoding vacuolar-type H+-ATPase subunit A1 leads to premature leaf senescence and seed dormancy in rice.,Physiological and Transcriptome Analyses of Early Leaf Senescence for ospls1 Mutant Rice (Oryza sativa L.) during the Grain-Filling Stage.,A single cytosine deletion in the OsPLS1 gene encoding vacuolar-type H+-ATPase subunit A1 leads to premature leaf senescence and seed dormancy in rice.,NA,NA,NA,3.740031185353709e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09437260917964319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0035238546284628463,3.824569991890704e-4,0.06410024925189309,0.04114636854383753,0.3860587484210192,2.2679994010713216e-4,0.11753878713114482,0.22573418506448487,0.0665217619657757,6.362833420813937e-6,4.6573123894672705e-7,1.2701296981204957e-5,5.947234499629723e-7,9.515476010744845e-9,1.678112421085705e-8,7.270441782291328e-9,1.7603774166702077e-8,NA,NA,NA,NA,NA,NA,NA
Chr01N_56784951,Flowering,Midwest,Chr01N,56784951,2.051911609861887,1430,Pavir.1NG435400,56786381,56789018,2638,PF02201,"PTHR13844,PTHR13844:SF13",KOG2570,K11650,AT5G14170.1,CHC1,SWIB/MDM2 domain superfamily protein,LOC_Os04g31320.1,"SWIB/MDM2 domain containing protein, expressed",OsSWIB,"BAF60, CHC1",AT5G14170,CHC1,SWIB/MDM2 domain superfamily protein,LOC_Os04g31320,"SWIB/MDM2 domain containing protein, expressed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2011283506353855e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06556927061101368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002278908432523915,2.7862360402798353e-4,0.03360661399747934,0.00625546090324954,0.11950320399680175,1.5280804277519608e-4,0.06884484780857625,0.6877123497776005,0.01536292831368463,1.1109530092487266e-5,8.107223431198138e-7,2.4723386333668676e-6,4.2043234652615066e-7,1.728481739486267e-8,1.622208181451888e-8,1.2888986252113185e-8,1.2257902630971945e-8,NA,NA,NA,NA,NA,NA,NA
