Chr,QTL_Pos_lo,QTL_Pos_hi,QTL_phenotype,QTL_LOD,mash_Pos,mash_log10BF,mash_subpop,mash_phenotype
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,2706670,2.151896942022109,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,2842838,2.47354599292272,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,2858135,2.8362666716664244,Gulf,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,2860076,2.160412936610595,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,2873350,3.332897409172335,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,2889000,2.534164115664781,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,3495319,3.527643096503135,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,3501072,2.1620036417526536,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,3736602,2.70809274455387,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,3946072,2.0397079297570824,Gulf,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,3946072,4.264610083335101,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,4024123,2.1675899918321138,Gulf,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,4072513,3.63866513826394,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,4130007,2.248599269216141,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,4155936,2.4827709609205715,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,4258678,2.1741851792868556,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,4301551,2.701493557277073,Gulf,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,4340637,2.1956944686267312,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,4461102,2.177316685553083,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,4503906,2.96566233771883,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,4727548,2.509244120106106,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,4729588,2.604423185461883,Gulf,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,4978655,2.5683852991670753,Gulf,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,5114254,2.001854186783853,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,5172699,2.4313418211204754,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,5359037,4.1996514676407255,Gulf,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,5537186,2.273651583994902,Gulf,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,5539022,2.550471502260279,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,6026283,2.095878390166415,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,6113217,2.7806683077245156,Gulf,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,6162633,2.5769194819695436,Both,flowering
Chr02K,2420000,9130000,dyln_fl50,14.7207660844627,6221364,2.1708109543943217,Gulf,flowering
