sites,subpop,phe,CHR,POS_Mb,Gene ID,distance from gene,FDR Adjusted p value,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice gene annotation,Rice homolog
MI,Midwest,cgdd_12c_10d,Chr01K,26.49,Pavir.1KG232600,3252,2.8447711165858633e-15,AT3G60800.1,NA,DHHC-type zinc finger family protein,"DHHC zinc finger domain containing protein, expressed",LOC_Os03g58960.1
MI,Midwest,cgdd_12c_10d,Chr01K,26.49,Pavir.1KG232600,3329,2.8447711165858633e-15,AT3G60800.1,NA,DHHC-type zinc finger family protein,"DHHC zinc finger domain containing protein, expressed",LOC_Os03g58960.1
MI,Midwest,cgdd_12c_10d,Chr01K,32.82,Pavir.1KG296800,19039,2.8447711165858633e-15,AT2G33510.1,NA,NA,"major ampullate spidroin 2-2, putative, expressed",LOC_Os02g31140.1
MI,Midwest,cgdd_12c_10d,Chr01K,39.1,Pavir.1KG355900,3666,2.8447711165858633e-15,NA,NA,NA,expressed protein,LOC_Os02g37610.1
MI,Midwest,cgdd_12c_10d,Chr01N,29.44,Pavir.1NG462500,1160,2.8447711165858633e-15,AT3G15110.1,NA,NA,expressed protein,LOC_Os02g20490.1
MI,Midwest,cgdd_12c_10d,Chr01N,29.44,Pavir.1NG462500,1146,2.8447711165858633e-15,AT3G15110.1,NA,NA,expressed protein,LOC_Os02g20490.1
MI,Midwest,cgdd_12c_10d,Chr01N,38.52,Pavir.1NG074538,582,2.8447711165858633e-15,AT2G37710.1,RLK,receptor lectin kinase,"lectin receptor-type protein kinase, putative, expressed",LOC_Os07g38810.1
MI,Midwest,cgdd_12c_10d,Chr01N,38.54,Pavir.1NG074300,323,2.8447711165858633e-15,AT3G26300.1,CYP71B34,"cytochrome P450, family 71, subfamily B, polypeptide 34","cytochrome P450, putative, expressed",LOC_Os12g32850.1
MI,Midwest,cgdd_12c_10d,Chr01N,38.54,Pavir.1NG074300,313,2.8447711165858633e-15,AT3G26300.1,CYP71B34,"cytochrome P450, family 71, subfamily B, polypeptide 34","cytochrome P450, putative, expressed",LOC_Os12g32850.1
MI,Midwest,cgdd_12c_10d,Chr01N,40.59,Pavir.1NG164000,16396,2.8447711165858633e-15,AT1G13920.1,NA,Remorin family protein,"remorin C-terminal domain containing protein, putative, expressed",LOC_Os10g17790.1
MI,Midwest,cgdd_12c_10d,Chr02K,17.72,Pavir.2KG226300,3767,2.8447711165858633e-15,AT1G21270.1,WAK2,wall-associated kinase 2,"OsWAK104 - OsWAK receptor-like protein kinase, expressed",LOC_Os10g06090.1
MI,Midwest,cgdd_12c_10d,Chr02K,22.92,Pavir.2KG268700,2262,2.8447711165858633e-15,AT5G03760.1,"ATCSLA09,ATCSLA9,CSLA09,CSLA9,RAT4",Nucleotide-diphospho-sugar transferases superfamily protein,"CSLA1 - cellulose synthase-like family A; mannan synthase, expressed",LOC_Os02g09930.1
MI,Midwest,cgdd_12c_10d,Chr02K,27.56,NA,NA,2.8447711165858633e-15,NA,NA,NA,NA,NA
MI,Midwest,cgdd_12c_10d,Chr02N,4.75,Pavir.2NG047925,663,2.8447711165858633e-15,AT3G62890.1,NA,Pentatricopeptide repeat (PPR) superfamily protein,"pentatricopeptide, putative, expressed",LOC_Os07g06960.1
MI,Midwest,cgdd_12c_10d,Chr02N,4.75,Pavir.2NG047925,1786,2.8447711165858633e-15,AT3G62890.1,NA,Pentatricopeptide repeat (PPR) superfamily protein,"pentatricopeptide, putative, expressed",LOC_Os07g06960.1
MI,Midwest,cgdd_12c_10d,Chr02N,4.75,Pavir.2NG047925,1765,2.8447711165858633e-15,AT3G62890.1,NA,Pentatricopeptide repeat (PPR) superfamily protein,"pentatricopeptide, putative, expressed",LOC_Os07g06960.1
MI,Midwest,cgdd_12c_10d,Chr02N,26.06,Pavir.2NG233900,5449,2.8447711165858633e-15,AT5G47750.1,"D6PKL2,PK5",D6 protein kinase like 2,"AGC_PVPK_like_kin82y.15 - ACG kinases include homologs to PKA, PKG and PKC, expressed",LOC_Os09g08420.1
MI,Midwest,cgdd_12c_10d,Chr02N,26.06,Pavir.2NG233900,8358,2.8447711165858633e-15,AT5G47750.1,"D6PKL2,PK5",D6 protein kinase like 2,"AGC_PVPK_like_kin82y.15 - ACG kinases include homologs to PKA, PKG and PKC, expressed",LOC_Os09g08420.1
MI,Midwest,cgdd_12c_10d,Chr02N,31.1,Pavir.2NG232300,6061,2.8447711165858633e-15,AT5G32440.3,NA,Ubiquitin system component Cue protein,expressed protein,LOC_Os09g03090.1
MI,Midwest,cgdd_12c_10d,Chr02N,33.06,NA,NA,2.8447711165858633e-15,NA,NA,NA,NA,NA
MI,Midwest,cgdd_12c_10d,Chr02N,33.82,NA,NA,2.8447711165858633e-15,NA,NA,NA,NA,NA
