sites,subpop,phe,CHR,POS_Mb,Gene ID,distance from gene,FDR Adjusted p value,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice gene annotation,Rice homolog
tx_sites,Midwest,cgdd_12c_10d,Chr01K,14.81,Pavir.1KG151900,7232,0.4125031655893933,AT1G49980.1,NA,DNA/RNA polymerases superfamily protein,"DNA-directed polymerase, putative, expressed",LOC_Os03g42010.2
tx_sites,Midwest,cgdd_12c_10d,Chr01N,51.12,Pavir.1NG355300,2118,0.4125031655893933,AT3G23250.1,"ATMYB15,ATY19,MYB15",myb domain protein 15,"MYB family transcription factor, putative, expressed",LOC_Os02g41510.1
tx_sites,Midwest,cgdd_12c_10d,Chr01N,54.5,Pavir.1NG390438,14004,0.4125031655893933,AT2G45540.1,NA,WD-40 repeat family protein / beige-related,"beige/BEACH domain containing protein, expressed",LOC_Os04g46894.1
tx_sites,Midwest,cgdd_12c_10d,Chr03K,58.72,Pavir.3KG519000,5179,0.4125031655893933,AT1G27480.1,NA,alpha/beta-Hydrolases superfamily protein,"lecithin:cholesterol acyltransferase, putative, expressed",LOC_Os02g37700.1
tx_sites,Midwest,cgdd_12c_10d,Chr03K,58.73,Pavir.3KG519000,8450,0.4125031655893933,AT1G27480.1,NA,alpha/beta-Hydrolases superfamily protein,"lecithin:cholesterol acyltransferase, putative, expressed",LOC_Os02g37700.1
tx_sites,Midwest,cgdd_12c_10d,Chr03K,58.73,Pavir.3KG519000,10541,0.4125031655893933,AT1G27480.1,NA,alpha/beta-Hydrolases superfamily protein,"lecithin:cholesterol acyltransferase, putative, expressed",LOC_Os02g37700.1
tx_sites,Midwest,cgdd_12c_10d,Chr03N,56.83,Pavir.3NG227100,11391,0.4125031655893933,AT2G03520.1,"ATUPS4,UPS4",ureide permease 4,"ureide permease, putative, expressed",LOC_Os12g31860.2
tx_sites,Midwest,cgdd_12c_10d,Chr03N,60.08,Pavir.3NG247826,4910,0.4125031655893933,AT1G50180.1,NA,NB-ARC domain-containing disease resistance protein,"mla1, putative, expressed",LOC_Os11g03650.1
tx_sites,Midwest,cgdd_12c_10d,Chr05K,40.75,Pavir.5KG380191,192,0.31229645750848517,AT3G14680.1,CYP72A14,"cytochrome P450, family 72, subfamily A, polypeptide 14","cytochrome P450 72A1, putative, expressed",LOC_Os01g43740.1
tx_sites,Midwest,cgdd_12c_10d,Chr07K,47.97,Pavir.7KG392200,806,0.31229645750848517,NA,NA,NA,"polyphenol oxidase, putative, expressed",LOC_Os04g53300.1
tx_sites,Gulf,cgdd_12c_10d,Chr01N,40.02,NA,NA,0.002926049387949042,NA,NA,NA,NA,NA
tx_sites,Gulf,cgdd_12c_10d,Chr02K,50.64,Pavir.2KG411495,1563,0.004107296569360493,AT1G20970.1,NA,NA,expressed protein,LOC_Os08g40250.1
tx_sites,Gulf,cgdd_12c_10d,Chr02K,50.64,Pavir.2KG411495,3050,0.004107296569360493,AT1G20970.1,NA,NA,expressed protein,LOC_Os08g40250.1
tx_sites,Gulf,cgdd_12c_10d,Chr04K,38.25,Pavir.4KG321000,122,0.002926049387949042,AT5G20200.1,NA,nucleoporin-related,expressed protein,LOC_Os06g40460.1
tx_sites,Gulf,cgdd_12c_10d,Chr05N,8.76,Pavir.5NG104081,67,0.003181010883425634,AT1G18390.2,NA,Protein kinase superfamily protein,expressed protein,LOC_Os01g04440.1
tx_sites,Gulf,cgdd_12c_10d,Chr05N,39.37,Pavir.5NG236900,2797,0.0018447416722855107,AT3G20430.1,NA,NA,expressed protein,LOC_Os01g37842.1
tx_sites,Gulf,cgdd_12c_10d,Chr08K,8.75,Pavir.8KG094700,2166,0.002926049387949042,NA,NA,NA,NA,NA
tx_sites,Gulf,cgdd_12c_10d,Chr08K,37.2,Pavir.8KG256400,1217,0.002926049387949042,AT5G13980.2,NA,Glycosyl hydrolase family 38 protein,"lysosomal alpha-mannosidase precursor, putative, expressed",LOC_Os11g32260.1
tx_sites,Gulf,cgdd_12c_10d,Chr08K,37.21,Pavir.8KG256400,4046,0.002926049387949042,AT5G13980.2,NA,Glycosyl hydrolase family 38 protein,"lysosomal alpha-mannosidase precursor, putative, expressed",LOC_Os11g32260.1
tx_sites,Gulf,cgdd_12c_10d,Chr09K,47.12,Pavir.9KG042957,4009,0.004107296569360493,AT1G43260.1,NA,hAT transposon superfamily protein,"hAT dimerisation domain-containing protein, putative, expressed",LOC_Os01g52430.1
tx_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr01N,29.25,NA,NA,0.025956546668147926,NA,NA,NA,NA,NA
tx_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr03N,25.15,Pavir.3NG140713,11017,0.025956546668147926,AT2G27690.1,CYP94C1,"cytochrome P450, family 94, subfamily C, polypeptide 1","cytochrome P450, putative, expressed",LOC_Os05g37250.1
tx_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr04K,0.46,Pavir.4KG009381,219,0.025956546668147926,AT3G30340.1,NA,nodulin MtN21 /EamA-like transporter family protein,"nodulin, putative, expressed",LOC_Os06g01840.1
tx_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr06N,48.4,Pavir.6NG304700,506,0.025956546668147926,AT2G27100.1,SE,C2H2 zinc-finger protein SERRATE (SE),"ZOS8-11 - C2H2 zinc finger protein, expressed",LOC_Os08g40560.1
tx_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr06N,48.4,Pavir.6NG304700,385,0.02259115941903038,AT2G27100.1,SE,C2H2 zinc-finger protein SERRATE (SE),"ZOS8-11 - C2H2 zinc finger protein, expressed",LOC_Os08g40560.1
