sites,subpop,phe,CHR,POS_Mb,Gene ID,distance from gene,FDR Adjusted p value,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice gene annotation,Rice homolog
north_sites,Midwest,cgdd_12c_10d,Chr01K,51.34,Pavir.1KG510213,662,4.886609781466586e-7,AT3G42170.1,NA,BED zinc finger ;hAT family dimerisation domain,"OsFBO6 - F-box and other domain containing protein, expressed",LOC_Os11g36790.1
north_sites,Midwest,cgdd_12c_10d,Chr03K,31.36,Pavir.3KG228132,724,7.515565555962934e-7,NA,NA,NA,NA,NA
north_sites,Midwest,cgdd_12c_10d,Chr03N,40.88,Pavir.3NG162600,9338,7.592614633075896e-7,NA,NA,NA,NA,NA
north_sites,Midwest,cgdd_12c_10d,Chr04K,28.21,Pavir.4KG258900,4368,1.9041743217532143e-6,AT1G67140.3,SWEETIE,HEAT repeat-containing protein,"HEAT repeat family protein, putative, expressed",LOC_Os06g30901.1
north_sites,Midwest,cgdd_12c_10d,Chr04N,10.49,Pavir.4NG144700,163,7.592614633075896e-7,AT5G28460.1,NA,Pentatricopeptide repeat (PPR) superfamily protein,"pentatricopeptide, putative, expressed",LOC_Os06g13950.1
north_sites,Midwest,cgdd_12c_10d,Chr04N,25.92,Pavir.4NG133200,1743,7.592614633075896e-7,NA,NA,NA,"zinc knuckle family protein, expressed",LOC_Os06g28300.1
north_sites,Midwest,cgdd_12c_10d,Chr05N,60.78,Pavir.5NG544272,4399,1.704096247825612e-6,AT3G05220.1,NA,Heavy metal transport/detoxification superfamily protein ,"heavy metal-associated domain containing protein, expressed",LOC_Os03g22490.1
north_sites,Midwest,cgdd_12c_10d,Chr07K,14.08,NA,NA,7.592614633075896e-7,NA,NA,NA,NA,NA
north_sites,Midwest,cgdd_12c_10d,Chr07K,51.08,Pavir.7KG386100,320,7.592614633075896e-7,AT1G18490.1,NA,Protein of unknown function (DUF1637),"2-aminoethanethiol dioxygenase, putative, expressed",LOC_Os08g03870.1
north_sites,Midwest,cgdd_12c_10d,Chr07K,51.08,Pavir.7KG386100,276,7.592614633075896e-7,AT1G18490.1,NA,Protein of unknown function (DUF1637),"2-aminoethanethiol dioxygenase, putative, expressed",LOC_Os08g03870.1
north_sites,Gulf,cgdd_12c_10d,Chr01N,7.31,Pavir.1NG087500,2115,0.19383791407490955,AT5G28850.2,NA,Calcium-binding EF-hand family protein,"serine/threonine-protein phosphatase 2A regulatory subunit B subunitbeta, putative, expressed",LOC_Os02g09840.1
north_sites,Gulf,cgdd_12c_10d,Chr01N,37.95,Pavir.1NG388600,4806,0.19383791407490955,NA,NA,NA,expressed protein,LOC_Os04g54759.1
north_sites,Gulf,cgdd_12c_10d,Chr02K,7.88,Pavir.2KG084516,15510,0.1463175190130776,NA,NA,NA,"OsFBX237 - F-box domain containing protein, expressed",LOC_Os07g35050.1
north_sites,Gulf,cgdd_12c_10d,Chr03K,1.52,Pavir.3KG020100,593,0.13190864630650886,AT3G50520.1,NA,Phosphoglycerate mutase family protein,"pentatricopeptide, putative, expressed",LOC_Os12g04110.1
north_sites,Gulf,cgdd_12c_10d,Chr04K,36.32,Pavir.4KG287330,3573,0.1231854631462866,NA,NA,NA,NA,NA
north_sites,Gulf,cgdd_12c_10d,Chr04N,40.99,Pavir.4NG182700,16942,0.13190864630650886,NA,NA,NA,NA,NA
north_sites,Gulf,cgdd_12c_10d,Chr04N,40.99,Pavir.4NG182700,16951,0.07948877863393465,NA,NA,NA,NA,NA
north_sites,Gulf,cgdd_12c_10d,Chr05K,53.07,Pavir.5KG603814,573,0.13190864630650886,AT1G69530.3,"AT-EXP1,ATEXP1,ATEXPA1,ATHEXP ALPHA 1.2,EXP1,EXPA1",expansin A1,"expansin precursor, putative, expressed",LOC_Os02g16839.1
north_sites,Gulf,cgdd_12c_10d,Chr09N,47.49,Pavir.9NG371456,16067,0.13190864630650886,AT3G58050.1,NA,NA,expressed protein,LOC_Os10g01610.1
north_sites,Gulf,cgdd_12c_10d,Chr09N,47.5,Pavir.9NG371456,6827,0.1463175190130776,AT3G58050.1,NA,NA,expressed protein,LOC_Os10g01610.1
north_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr01N,52.47,Pavir.1NG244300,1074,2.135666425491352e-7,NA,NA,NA,"RIPER1 - Ripening-related family protein precursor, expressed",LOC_Os02g42450.1
north_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr05N,4.71,Pavir.5NG054300,3049,1.230261286821715e-6,AT5G15130.1,"ATWRKY72,WRKY72",WRKY DNA-binding protein 72,"WRKY107, expressed",LOC_Os01g09080.1
north_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr09K,26.12,Pavir.9KG196300,3281,2.135666425491352e-7,AT4G14746.1,NA,NA,"MTN26L3 - MtN26 family protein precursor, putative, expressed",LOC_Os10g28380.1
north_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr09K,26.13,Pavir.9KG196300,6372,1.0659972779356123e-6,AT4G14746.1,NA,NA,"MTN26L3 - MtN26 family protein precursor, putative, expressed",LOC_Os10g28380.1
north_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr09K,26.13,Pavir.9KG196300,10495,2.135666425491352e-7,AT4G14746.1,NA,NA,"MTN26L3 - MtN26 family protein precursor, putative, expressed",LOC_Os10g28380.1
north_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr09K,26.13,Pavir.9KG196300,10604,4.038780407845616e-10,AT4G14746.1,NA,NA,"MTN26L3 - MtN26 family protein precursor, putative, expressed",LOC_Os10g28380.1
north_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr09K,26.13,Pavir.9KG196300,11501,2.135666425491352e-7,AT4G14746.1,NA,NA,"MTN26L3 - MtN26 family protein precursor, putative, expressed",LOC_Os10g28380.1
north_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr09N,73.36,Pavir.9NG851701,1962,1.230261286821715e-6,NA,NA,NA,NA,NA
north_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr09N,73.36,Pavir.9NG851701,290,2.135666425491352e-7,NA,NA,NA,NA,NA
north_sites,Gulf_and_Midwest,cgdd_12c_10d,Chr09N,76.1,Pavir.9NG817700,2006,2.135666425491352e-7,AT1G34630.1,NA,NA,expressed protein,LOC_Os03g09090.1
north_sites,Midwest,cgdd_12c_gr2fl,Chr02N,66.77,Pavir.2NG646650,1479,0.21959218184908205,NA,NA,NA,NA,NA
north_sites,Midwest,cgdd_12c_gr2fl,Chr03N,69.14,Pavir.3NG266200,2328,0.21959218184908205,NA,NA,NA,expressed protein,LOC_Os06g12876.1
north_sites,Midwest,cgdd_12c_gr2fl,Chr04N,17.26,Pavir.4NG156462,325,0.21959218184908205,NA,NA,NA,NA,NA
north_sites,Midwest,cgdd_12c_gr2fl,Chr05K,36.16,Pavir.5KG295300,4193,0.09698141569409303,AT5G08020.1,"ATRPA70B,RPA70B",RPA70-kDa subunit B,"retrotransposon protein, putative, unclassified, expressed",LOC_Os03g08400.1
north_sites,Midwest,cgdd_12c_gr2fl,Chr05K,36.16,Pavir.5KG295300,4206,0.09698141569409303,AT5G08020.1,"ATRPA70B,RPA70B",RPA70-kDa subunit B,"retrotransposon protein, putative, unclassified, expressed",LOC_Os03g08400.1
north_sites,Midwest,cgdd_12c_gr2fl,Chr05K,59.85,Pavir.5KG745400,220,0.21959218184908205,AT5G61840.1,GUT1,Exostosin family protein,"exostosin family domain containing protein, expressed",LOC_Os01g70180.1
north_sites,Midwest,cgdd_12c_gr2fl,Chr06K,30.7,Pavir.6KG220500,835,0.21959218184908205,AT2G26160.1,NA,F-box family protein with a domain of unknown function (DUF295),"OsFBDUF66 - F-box and DUF domain containing protein, expressed",LOC_Os12g39520.1
north_sites,Midwest,cgdd_12c_gr2fl,Chr08K,3.44,Pavir.8KG028002,2293,0.21959218184908205,AT1G62670.1,RPF2,rna processing factor 2,"Rf1, mitochondrial precursor, putative, expressed",LOC_Os10g35240.1
north_sites,Midwest,cgdd_12c_gr2fl,Chr09K,66.59,Pavir.9KG601901,4156,0.09698141569409303,AT5G08020.1,"ATRPA70B,RPA70B",RPA70-kDa subunit B,"retrotransposon protein, putative, unclassified, expressed",LOC_Os03g08400.1
north_sites,Midwest,cgdd_12c_gr2fl,Chr09N,32.77,Pavir.9NG404814,770,0.21959218184908205,AT3G01120.1,"ATCYS1,CGS,CGS1,MTO1",Pyridoxal phosphate (PLP)-dependent transferases superfamily protein,"cystathionine gamma-synthase, putative, expressed",LOC_Os10g25950.1
north_sites,Gulf,cgdd_12c_gr2fl,Chr01K,29.24,Pavir.1KG218005,2571,0.03279498771655797,NA,NA,NA,"retrotransposon protein, putative, unclassified, expressed",LOC_Os08g21060.1
north_sites,Gulf,cgdd_12c_gr2fl,Chr03K,3.73,Pavir.3KG053400,1758,0.027223642831625115,AT5G09220.1,AAP2,amino acid permease 2,"amino acid transporter, putative, expressed",LOC_Os12g08090.1
north_sites,Gulf,cgdd_12c_gr2fl,Chr04N,1.69,Pavir.4NG019200,4686,0.050696366810801335,AT5G07270.1,XBAT33,XB3 ortholog 3 in Arabidopsis thaliana,"pollen ankyrin, putative, expressed",LOC_Os06g03800.1
north_sites,Gulf,cgdd_12c_gr2fl,Chr05K,27.11,NA,NA,0.03814013851278225,NA,NA,NA,NA,NA
north_sites,Gulf,cgdd_12c_gr2fl,Chr05N,35.58,Pavir.5NG392700,8652,0.03279498771655797,AT1G65810.1,NA,P-loop containing nucleoside triphosphate hydrolases superfamily protein,"tRNA-splicing endonuclease positive effector-related, putative, expressed",LOC_Os04g51090.1
