sites,subpop,phe,CHR,POS_Mb,Gene ID,distance from gene,FDR Adjusted p value,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice gene annotation,Rice homolog
eight_sites,Gulf_and_Midwest,FL50,Chr01K,0.1,Pavir.1KG000101,11804,0.031116189509717517,AT4G21390.1,B120,S-locus lectin protein kinase family protein,"TKL_IRAK_DUF26-la.5 - DUF26 kinases have homology to DUF26 containing loci, expressed",LOC_Os10g04720.1
eight_sites,Gulf_and_Midwest,cgdd_12c_gr2fl,Chr01K,3.37,Pavir.1KG042531,393,0.009091588113734709,AT5G10910.1,NA,mraW methylase family protein,"S-adenosyl-L-methionine-dependent methyltransferase mraW, putative, expressed",LOC_Os02g04500.2
eight_sites,Gulf_and_Midwest,FL50,Chr01K,3.37,Pavir.1KG042531,393,0.015982485693571566,AT5G10910.1,NA,mraW methylase family protein,"S-adenosyl-L-methionine-dependent methyltransferase mraW, putative, expressed",LOC_Os02g04500.2
eight_sites,Gulf_and_Midwest,dyln_fl50,Chr01K,4.89,Pavir.1KG067300,1278,0.003915754020227117,AT1G50670.1,NA,OTU-like cysteine protease family protein,"OTU-like cysteine protease family protein, putative, expressed",LOC_Os02g06890.1
eight_sites,Gulf_and_Midwest,dyln_fl50,Chr01K,4.89,Pavir.1KG067300,1467,0.00330083054634484,AT1G50670.1,NA,OTU-like cysteine protease family protein,"OTU-like cysteine protease family protein, putative, expressed",LOC_Os02g06890.1
eight_sites,Gulf_and_Midwest,dyln_fl50,Chr01K,4.89,Pavir.1KG067300,1472,0.00330083054634484,AT1G50670.1,NA,OTU-like cysteine protease family protein,"OTU-like cysteine protease family protein, putative, expressed",LOC_Os02g06890.1
eight_sites,Gulf_and_Midwest,dyln_fl50,Chr01K,4.89,Pavir.1KG067300,403,0.006106214330838821,AT1G50670.1,NA,OTU-like cysteine protease family protein,"OTU-like cysteine protease family protein, putative, expressed",LOC_Os02g06890.1
eight_sites,Gulf_and_Midwest,FL50,Chr01K,4.89,Pavir.1KG067300,1467,0.029091863762937327,AT1G50670.1,NA,OTU-like cysteine protease family protein,"OTU-like cysteine protease family protein, putative, expressed",LOC_Os02g06890.1
eight_sites,Gulf_and_Midwest,FL50,Chr01K,4.89,Pavir.1KG067300,1472,0.029091863762937327,AT1G50670.1,NA,OTU-like cysteine protease family protein,"OTU-like cysteine protease family protein, putative, expressed",LOC_Os02g06890.1
eight_sites,Gulf_and_Midwest,cgdd_12c_gr2fl,Chr01K,7.01,Pavir.1KG090600,33,0.015211701517826318,AT1G61720.1,BAN,NAD(P)-binding Rossmann-fold superfamily protein,"leucoanthocyanidin reductase, putative, expressed",LOC_Os04g53810.1
eight_sites,Gulf_and_Midwest,dyln_fl50,Chr01K,7.01,Pavir.1KG090600,33,0.0034067222716012285,AT1G61720.1,BAN,NAD(P)-binding Rossmann-fold superfamily protein,"leucoanthocyanidin reductase, putative, expressed",LOC_Os04g53810.1
eight_sites,Gulf_and_Midwest,FL50,Chr01K,7.01,Pavir.1KG090600,33,0.019876378428353655,AT1G61720.1,BAN,NAD(P)-binding Rossmann-fold superfamily protein,"leucoanthocyanidin reductase, putative, expressed",LOC_Os04g53810.1
eight_sites,Gulf_and_Midwest,FL50,Chr01K,7.89,Pavir.1KG099600,210,0.023053642947447568,AT2G33560.2,BUBR1,BUB1-related (BUB1: budding uninhibited by benzymidazol 1),"Mad3/BUB1 homology region 1 domain containing protein, expressed",LOC_Os02g10020.1
eight_sites,Gulf_and_Midwest,cgdd_12c_gr2fl,Chr01K,8.14,Pavir.1KG103131,1342,0.006901259317831904,AT5G12950.1,NA,Putative glycosyl hydrolase of unknown function (DUF1680),"DUF1680 domain containing protein, putative, expressed",LOC_Os02g10190.1
eight_sites,Gulf_and_Midwest,cgdd_12c_gr2fl,Chr01K,8.14,Pavir.1KG103131,1048,0.008079653845415176,AT5G12950.1,NA,Putative glycosyl hydrolase of unknown function (DUF1680),"DUF1680 domain containing protein, putative, expressed",LOC_Os02g10190.1
eight_sites,Gulf_and_Midwest,cgdd_12c_gr2fl,Chr01K,8.14,Pavir.1KG103131,707,0.014718488537045006,AT5G12950.1,NA,Putative glycosyl hydrolase of unknown function (DUF1680),"DUF1680 domain containing protein, putative, expressed",LOC_Os02g10190.1
eight_sites,Gulf_and_Midwest,dyln_fl50,Chr01K,8.14,Pavir.1KG103131,1342,0.0034067222716012285,AT5G12950.1,NA,Putative glycosyl hydrolase of unknown function (DUF1680),"DUF1680 domain containing protein, putative, expressed",LOC_Os02g10190.1
eight_sites,Gulf_and_Midwest,dyln_fl50,Chr01K,8.14,Pavir.1KG103131,1048,0.003139671262909984,AT5G12950.1,NA,Putative glycosyl hydrolase of unknown function (DUF1680),"DUF1680 domain containing protein, putative, expressed",LOC_Os02g10190.1
eight_sites,Gulf_and_Midwest,FL50,Chr01K,8.14,Pavir.1KG103131,1342,0.019876378428353655,AT5G12950.1,NA,Putative glycosyl hydrolase of unknown function (DUF1680),"DUF1680 domain containing protein, putative, expressed",LOC_Os02g10190.1
eight_sites,Gulf_and_Midwest,FL50,Chr01K,8.14,Pavir.1KG103131,1048,0.019876378428353655,AT5G12950.1,NA,Putative glycosyl hydrolase of unknown function (DUF1680),"DUF1680 domain containing protein, putative, expressed",LOC_Os02g10190.1
eight_sites,Gulf_and_Midwest,FL50,Chr01K,8.14,Pavir.1KG103131,707,0.021681100231499762,AT5G12950.1,NA,Putative glycosyl hydrolase of unknown function (DUF1680),"DUF1680 domain containing protein, putative, expressed",LOC_Os02g10190.1
eight_sites,Gulf,dyln_fl50,Chr01K,13.03,Pavir.1KG180400,3094,0.07884984902689242,AT5G60900.1,RLK1,receptor-like protein kinase 1,"D-mannose binding lectin family protein, expressed",LOC_Os06g41510.1
