sites,subpop,phe,CHR,POS_Mb,Gene ID,distance from gene,FDR Adjusted p value,Arabidopsis thaliana homolog,A. thaliana gene name,A. thaliana gene annotation,Rice gene annotation,Rice homolog
eight_sites,Gulf,cgdd_12c_gr2fl,Chr01K,56.75,Pavir.1KG558100,1083,0.149942738,AT2G21280.1,"ATSULA,GC1,SULA",NAD(P)-binding Rossmann-fold superfamily protein,"cell division inhibitor, putative, expressed",LOC_Os02g58790.1
eight_sites,Gulf,FL50,Chr01K,56.75,Pavir.1KG558100,1083,0.060039593,AT2G21280.1,"ATSULA,GC1,SULA",NAD(P)-binding Rossmann-fold superfamily protein,"cell division inhibitor, putative, expressed",LOC_Os02g58790.1
eight_sites,Gulf,FL50,Chr01N,14.83,Pavir.1NG144400,9490,0.068957194,AT5G53120.2,"ATSPDS3,SPDS3,SPMS",spermidine synthase 3,"spermidine synthase, putative, expressed",LOC_Os02g15550.2
eight_sites,Gulf,cgdd_12c_gr2fl,Chr01N,58.74,Pavir.1NG461071,4275,0.149942738,AT2G41905.1,NA,NA,"arabinogalactan peptide 23 precursor, putative, expressed",LOC_Os06g21410.1
eight_sites,Gulf,dyln_fl50,Chr01N,58.74,Pavir.1NG461071,4275,0.013845391,AT2G41905.1,NA,NA,"arabinogalactan peptide 23 precursor, putative, expressed",LOC_Os06g21410.1
eight_sites,Gulf,FL50,Chr01N,58.74,Pavir.1NG461071,4275,0.072337893,AT2G41905.1,NA,NA,"arabinogalactan peptide 23 precursor, putative, expressed",LOC_Os06g21410.1
eight_sites,Gulf_and_Midwest,dyln_fl50,Chr01N,65.97,Pavir.1NG555500,444,4.64E-04,AT2G37010.1,"ATNAP12,NAP12",non-intrinsic ABC protein 12,"white-brown complex homolog protein, putative, expressed",LOC_Os11g22350.1
eight_sites,Midwest,FL50,Chr02N,2.3,Pavir.2NG041258,17,0.370575684,NA,NA,NA,expressed protein,LOC_Os01g24080.1
eight_sites,Midwest,FL50,Chr02N,18.23,NA,NA,0.370575684,NA,NA,NA,NA,NA
eight_sites,Gulf_and_Midwest,cgdd_12c_gr2fl,Chr03K,38.23,NA,NA,0.001783261,NA,NA,NA,NA,NA
eight_sites,Gulf_and_Midwest,dyln_fl50,Chr03K,38.23,NA,NA,1.40E-04,NA,NA,NA,NA,NA
eight_sites,Gulf_and_Midwest,dyln_fl50,Chr03K,40.87,Pavir.3KG245981,14499,4.63E-04,NA,NA,NA,NA,NA
eight_sites,Gulf,cgdd_12c_gr2fl,Chr03K,50.84,Pavir.3KG393200,19955,0.149942738,AT5G04870.1,"ATCPK1,CPK1",calcium dependent protein kinase 1,"CAMK_CAMK_like.47 - CAMK includes calcium/calmodulin depedent protein kinases, expressed",LOC_Os12g30150.1
eight_sites,Gulf,dyln_fl50,Chr03K,50.84,Pavir.3KG393200,19955,0.03123195,AT5G04870.1,"ATCPK1,CPK1",calcium dependent protein kinase 1,"CAMK_CAMK_like.47 - CAMK includes calcium/calmodulin depedent protein kinases, expressed",LOC_Os12g30150.1
eight_sites,Midwest,cgdd_12c_gr2fl,Chr03K,53.43,Pavir.3KG463700,1247,0.122487038,AT1G58390.1,NA,Disease resistance protein (CC-NBS-LRR class) family,"resistance protein, putative, expressed",LOC_Os08g42670.2
eight_sites,Midwest,FL50,Chr03K,53.43,Pavir.3KG463700,1247,0.259867419,AT1G58390.1,NA,Disease resistance protein (CC-NBS-LRR class) family,"resistance protein, putative, expressed",LOC_Os08g42670.2
eight_sites,Gulf_and_Midwest,cgdd_12c_gr2fl,Chr03N,1.47,Pavir.3NG011800,4916,0.001824785,AT5G03380.1,NA,Heavy metal transport/detoxification superfamily protein ,"heavy-metal-associated domain-containing protein, putative, expressed",LOC_Os11g05010.3
eight_sites,Gulf,cgdd_12c_gr2fl,Chr03N,31.73,Pavir.3NG131600,1991,0.028391705,AT2G23600.1,"ACL,ATME8,ATMES2,ME8,MES2",acetone-cyanohydrin lyase,"esterase, putative, expressed",LOC_Os05g30760.1
eight_sites,Gulf_and_Midwest,cgdd_12c_gr2fl,Chr03N,31.73,Pavir.3NG131600,1991,2.99E-04,AT2G23600.1,"ACL,ATME8,ATMES2,ME8,MES2",acetone-cyanohydrin lyase,"esterase, putative, expressed",LOC_Os05g30760.1
eight_sites,Gulf,dyln_fl50,Chr03N,31.73,Pavir.3NG131600,2319,0.03123195,AT2G23600.1,"ACL,ATME8,ATMES2,ME8,MES2",acetone-cyanohydrin lyase,"esterase, putative, expressed",LOC_Os05g30760.1
eight_sites,Gulf,dyln_fl50,Chr03N,31.73,Pavir.3NG131600,1991,0.009497726,AT2G23600.1,"ACL,ATME8,ATMES2,ME8,MES2",acetone-cyanohydrin lyase,"esterase, putative, expressed",LOC_Os05g30760.1
eight_sites,Gulf_and_Midwest,dyln_fl50,Chr03N,31.73,Pavir.3NG131600,1991,2.34E-05,AT2G23600.1,"ACL,ATME8,ATMES2,ME8,MES2",acetone-cyanohydrin lyase,"esterase, putative, expressed",LOC_Os05g30760.1
eight_sites,Gulf,FL50,Chr03N,31.73,Pavir.3NG131600,1991,0.010494646,AT2G23600.1,"ACL,ATME8,ATMES2,ME8,MES2",acetone-cyanohydrin lyase,"esterase, putative, expressed",LOC_Os05g30760.1
eight_sites,Gulf_and_Midwest,FL50,Chr03N,31.73,Pavir.3NG131600,1991,5.72E-04,AT2G23600.1,"ACL,ATME8,ATMES2,ME8,MES2",acetone-cyanohydrin lyase,"esterase, putative, expressed",LOC_Os05g30760.1
eight_sites,Midwest,cgdd_12c_gr2fl,Chr04K,7.17,Pavir.4KG095100,1080,0.122487038,AT1G72310.1,ATL3,RING/U-box superfamily protein,"zinc finger, C3HC4 type domain containing protein, expressed",LOC_Os06g09310.1
eight_sites,Midwest,FL50,Chr04K,7.17,Pavir.4KG095100,1080,0.036151139,AT1G72310.1,ATL3,RING/U-box superfamily protein,"zinc finger, C3HC4 type domain containing protein, expressed",LOC_Os06g09310.1
eight_sites,Gulf_and_Midwest,cgdd_12c_gr2fl,Chr04K,8.07,Pavir.4KG175633,435,3.02E-05,AT3G13960.1,"AtGRF5,GRF5",growth-regulating factor 5,"growth regulating factor protein, putative, expressed",LOC_Os06g10310.1
eight_sites,Gulf_and_Midwest,dyln_fl50,Chr04K,8.07,Pavir.4KG175633,435,2.02E-05,AT3G13960.1,"AtGRF5,GRF5",growth-regulating factor 5,"growth regulating factor protein, putative, expressed",LOC_Os06g10310.1
eight_sites,Gulf_and_Midwest,FL50,Chr04K,8.07,Pavir.4KG175633,435,3.17E-04,AT3G13960.1,"AtGRF5,GRF5",growth-regulating factor 5,"growth regulating factor protein, putative, expressed",LOC_Os06g10310.1
eight_sites,Midwest,cgdd_12c_gr2fl,Chr04K,13.81,Pavir.4KG222710,6879,0.122487038,AT5G05800.2,NA,NA,"transposon protein, putative, CACTA, En/Spm sub-class, expressed",LOC_Os04g16940.1
eight_sites,Midwest,FL50,Chr04K,13.81,Pavir.4KG222710,6879,0.17669332,AT5G05800.2,NA,NA,"transposon protein, putative, CACTA, En/Spm sub-class, expressed",LOC_Os04g16940.1
